Neuron 1,Neuron 2,Type,Nbr
DVA,AUAL,Sp,1
IL2DL,AUAL,S,1
RIAL,AUAL,Rp,5
RIBL,AUAL,R,2
RIBL,AUAL,Rp,7
RIBL,AUAL,Sp,1
RIR,AUAL,Sp,1
URXL,AUAL,S,1
URXL,AUAL,Sp,4
ADFR,AUAR,Sp,4
AINL,AUAR,Sp,1
AINR,AUAR,Sp,1
AIYR,AUAR,Rp,1
AINL,AUAR,EJ,1
AUAL,AUAR,EJ,1
AWBR,AUAR,EJ,1
AVAR,AUAR,R,1
AVER,AUAR,R,1
AVER,AUAR,Rp,3
AWAR,AUAR,S,1
DVA,AUAR,Sp,1
RIAR,AUAR,R,1
RIAR,AUAR,Rp,5
RIBR,AUAR,R,4
RIBR,AUAR,Rp,9
RIH,AUAR,Sp,1
URXR,AUAR,R,1
URXR,AUAR,S,1
URXR,AUAR,Sp,3
ADAR,AVAL,Sp,1
ADEL,AVAL,Sp,2
ADER,AVAL,S,1
ADER,AVAL,Sp,4
ADLL,AVAL,Sp,2
AIBL,AVAL,Sp,2
ALA,AVAL,Sp,1
AQR,AVAL,S,1
AQR,AVAL,Sp,1
ASHL,AVAL,Sp,2
AUAL,AVAL,S,1
AUAL,AVAL,Sp,2
AVAR,AVAL,EJ,5
AVJL,AVAL,EJ,2
FLPL,AVAL,EJ,1
LUAL,AVAL,EJ,1
RIMR,AVAL,EJ,3
SABD,AVAL,EJ,4
SABVR,AVAL,EJ,1
SDQR,AVAL,EJ,1
URYDL,AVAL,EJ,1
URYVR,AVAL,EJ,1
AVAR,AVAL,Rp,2
AVAR,AVAL,Sp,1
AVBL,AVAL,S,6
AVBL,AVAL,Sp,1
AVBR,AVAL,Rp,1
AVBR,AVAL,S,5
AVBR,AVAL,Sp,1
AVDL,AVAL,R,1
AVDL,AVAL,S,1
AVDL,AVAL,Sp,12
AVDR,AVAL,S,3
AVDR,AVAL,Sp,13
AVEL,AVAL,S,2
AVEL,AVAL,Sp,10
AVER,AVAL,S,2
AVER,AVAL,Sp,5
AVHL,AVAL,Rp,1
AVJR,AVAL,Sp,1
AWCL,AVAL,Sp,1
BAGR,AVAL,S,1
BAGR,AVAL,Sp,1
BDUR,AVAL,Sp,3
DVA,AVAL,Sp,3
DVC,AVAL,Sp,5
FLPL,AVAL,S,4
FLPL,AVAL,Sp,10
FLPR,AVAL,S,2
FLPR,AVAL,Sp,10
LUAL,AVAL,Rp,1
LUAL,AVAL,Sp,5
LUAR,AVAL,Sp,3
RIBL,AVAL,S,1
RIBL,AVAL,Sp,1
RICL,AVAL,Sp,5
RICR,AVAL,Sp,5
RIML,AVAL,Sp,1
RIMR,AVAL,Sp,2
RMGL,AVAL,Sp,1
SAADL,AVAL,Sp,6
SAAVL,AVAL,S,1
SAAVL,AVAL,Sp,16
SDQL,AVAL,S,1
SDQL,AVAL,Sp,1
SDQR,AVAL,Sp,2
SMBDR,AVAL,Sp,1
URYVR,AVAL,Sp,1
ADAL,AVAR,Sp,2
ADEL,AVAR,Sp,3
ADER,AVAR,Rp,1
ADER,AVAR,Sp,1
ADLL,AVAR,Sp,3
ADLR,AVAR,Sp,2
AIBR,AVAR,Sp,1
AQR,AVAR,S,1
AQR,AVAR,Sp,2
ASHR,AVAR,S,1
ASHR,AVAR,Sp,4
AUAR,AVAR,S,1
AVAL,AVAR,Rp,1
AVAL,AVAR,Sp,2
AVAL,AVAR,EJ,5
RIML,AVAR,EJ,2
RIMR,AVAR,EJ,1
SABVL,AVAR,EJ,3
SABVR,AVAR,EJ,1
URYDR,AVAR,EJ,1
URYVL,AVAR,EJ,1
AVBL,AVAR,R,1
AVBL,AVAR,S,5
AVBL,AVAR,Sp,2
AVBR,AVAR,S,5
AVBR,AVAR,Sp,2
AVDL,AVAR,R,1
AVDL,AVAR,S,2
AVDL,AVAR,Sp,17
AVDR,AVAR,Rp,2
AVDR,AVAR,S,1
AVDR,AVAR,Sp,14
AVEL,AVAR,Rp,2
AVEL,AVAR,S,4
AVEL,AVAR,Sp,3
AVER,AVAR,Rp,2
AVER,AVAR,Sp,16
AVG,AVAR,S,1
AVG,AVAR,Sp,2
AVJL,AVAR,Sp,1
AVJR,AVAR,Sp,1
BAGL,AVAR,S,1
BAGL,AVAR,Sp,1
DVA,AVAR,Sp,1
DVC,AVAR,Sp,7
FLPL,AVAR,Sp,17
FLPR,AVAR,Sp,5
LUAL,AVAR,Rp,1
LUAL,AVAR,S,1
LUAL,AVAR,Sp,5
LUAR,AVAR,Rp,3
LUAR,AVAR,Sp,7
RIBR,AVAR,S,2
RICL,AVAR,Sp,6
RICR,AVAR,Sp,5
RIGL,AVAR,Rp,1
RMGR,AVAR,Sp,1
SAADR,AVAR,Sp,3
SAAVR,AVAR,S,4
SAAVR,AVAR,Sp,9
SABD,AVAR,Rp,1
SABVL,AVAR,R,1
SABVL,AVAR,Rp,2
SDQL,AVAR,Sp,3
SMBDL,AVAR,Sp,1
ADAL,AVBL,Sp,4
ADAR,AVBL,S,1
ADAR,AVBL,Sp,1
ADLL,AVBL,S,2
ADLL,AVBL,Sp,2
ADLR,AVBL,S,1
AIBL,AVBL,S,1
AIBL,AVBL,Sp,4
AQR,AVBL,S,1
AQR,AVBL,Sp,2
ASHL,AVBL,Sp,6
AVAL,AVBL,R,6
AVAL,AVBL,Rp,1
AVAR,AVBL,R,5
AVAR,AVBL,Rp,2
AVAR,AVBL,S,1
AQR,AVBL,EJ,1
AVBR,AVBL,EJ,3
DVA,AVBL,EJ,1
RIBL,AVBL,EJ,1
RIBR,AVBL,EJ,1
RID,AVBL,EJ,1
SDQR,AVBL,EJ,1
SIBVL,AVBL,EJ,1
AVBR,AVBL,Rp,1
AVBR,AVBL,Sp,1
AVDL,AVBL,Rp,1
AVDR,AVBL,Rp,2
AVDR,AVBL,S,1
AVEL,AVBL,R,1
AVER,AVBL,Rp,2
AVFL,AVBL,Sp,1
AVFR,AVBL,Sp,1
AVG,AVBL,S,1
AVG,AVBL,Sp,1
AVHL,AVBL,S,1
AVHR,AVBL,Sp,2
AVJL,AVBL,Sp,1
AVJR,AVBL,S,1
AVJR,AVBL,Sp,2
AVKL,AVBL,Sp,1
AVL,AVBL,R,1
AVM,AVBL,Sp,6
AWBL,AVBL,S,1
DVA,AVBL,Sp,1
DVC,AVBL,Sp,1
FLPL,AVBL,S,1
FLPL,AVBL,Sp,3
FLPR,AVBL,Sp,5
RIFL,AVBL,Sp,10
RIFR,AVBL,Sp,1
RIML,AVBL,Sp,2
RIMR,AVBL,Sp,2
SDQR,AVBL,S,2
SDQR,AVBL,Sp,4
URBL,AVBL,S,1
URXL,AVBL,Sp,1
URXR,AVBL,Sp,1
ADAL,AVBR,S,2
ADAL,AVBR,Sp,5
ADAR,AVBR,Sp,5
ADLR,AVBR,S,2
AIBR,AVBR,Sp,3
AIML,AVBR,Sp,2
AQR,AVBR,Sp,4
ASHR,AVBR,Sp,3
AVAL,AVBR,R,5
AVAL,AVBR,Rp,1
AVAL,AVBR,Sp,1
AVAR,AVBR,R,5
AVAR,AVBR,Rp,2
AVBL,AVBR,Rp,1
AVBL,AVBR,Sp,1
AVBL,AVBR,EJ,3
DVA,AVBR,EJ,1
RIBL,AVBR,EJ,1
RIBR,AVBR,EJ,1
RID,AVBR,EJ,2
SIBVL,AVBR,EJ,1
AVFL,AVBR,Sp,2
AVFR,AVBR,S,3
AVFR,AVBR,Sp,2
AVG,AVBR,S,2
AVHL,AVBR,Sp,1
AVHR,AVBR,Sp,1
AVJL,AVBR,Sp,4
AVJR,AVBR,Sp,1
AVM,AVBR,S,2
AVM,AVBR,Sp,4
AWBR,AVBR,Sp,2
FLPL,AVBR,S,1
FLPL,AVBR,Sp,4
FLPR,AVBR,Sp,1
HSNR,AVBR,R,1
RIBL,AVBR,Sp,1
RIFL,AVBR,Sp,1
RIFR,AVBR,S,3
RIFR,AVBR,Sp,14
RIML,AVBR,Sp,3
RIMR,AVBR,S,1
RIMR,AVBR,Sp,4
RMGL,AVBR,Sp,2
RMGR,AVBR,Sp,1
SDQR,AVBR,Sp,4
URBR,AVBR,Sp,1
URXR,AVBR,Sp,2
URYVL,AVBR,Sp,1
ADAL,AVDL,Sp,1
ADLL,AVDL,Sp,1
ADLR,AVDL,S,1
ADLR,AVDL,Sp,4
AIML,AVDL,Sp,1
AQR,AVDL,Sp,1
ASHL,AVDL,Sp,2
ASHR,AVDL,S,1
ASHR,AVDL,Sp,4
AVAL,AVDL,R,1
AVAL,AVDL,Rp,12
AVAL,AVDL,S,1
AVAR,AVDL,R,2
AVAR,AVDL,Rp,17
AVAR,AVDL,S,1
AVBL,AVDL,Sp,1
ADAR,AVDL,EJ,2
AVM,AVDL,EJ,2
FLPL,AVDL,EJ,1
FLPR,AVDL,EJ,1
AVDR,AVDL,Sp,2
AVHL,AVDL,Sp,1
AVJL,AVDL,Sp,1
AVJR,AVDL,Sp,1
FLPL,AVDL,Sp,6
FLPR,AVDL,S,2
FLPR,AVDL,Sp,8
LUAL,AVDL,Rp,1
LUAL,AVDL,Sp,4
LUAR,AVDL,Sp,1
RMGR,AVDL,Sp,1
SABD,AVDL,R,1
SABD,AVDL,Rp,1
SABVL,AVDL,Rp,1
SABVR,AVDL,Rp,1
ADER,AVDR,Sp,2
ADLL,AVDR,Sp,4
ADLR,AVDR,Sp,2
AIML,AVDR,Sp,1
AIMR,AVDR,Sp,1
ALML,AVDR,Sp,1
AQR,AVDR,Sp,1
ASHL,AVDR,S,2
ASHL,AVDR,Sp,2
ASHR,AVDR,Sp,1
AUAL,AVDR,Sp,1
AVAL,AVDR,R,3
AVAL,AVDR,Rp,13
AVAR,AVDR,R,1
AVAR,AVDR,Rp,14
AVAR,AVDR,Sp,2
AVBL,AVDR,R,1
AVBL,AVDR,Sp,2
AVDL,AVDR,Rp,2
ADAL,AVDR,EJ,2
ADLL,AVDR,EJ,1
AVJL,AVDR,EJ,2
FLPR,AVDR,EJ,1
AVER,AVDR,Sp,1
AVG,AVDR,S,1
AVHR,AVDR,Sp,1
AVJR,AVDR,S,1
AVJR,AVDR,Sp,2
DVC,AVDR,R,1
FLPL,AVDR,Sp,13
FLPR,AVDR,Sp,1
HSNL,AVDR,Sp,2
HSNR,AVDR,Sp,1
LUAL,AVDR,Rp,2
LUAL,AVDR,Sp,2
LUAR,AVDR,Sp,3
RIBL,AVDR,Sp,1
SABD,AVDR,Rp,1
SABVL,AVDR,Rp,3
SABVR,AVDR,Rp,1
ADAL,AVEL,Sp,1
ADAR,AVEL,Sp,1
ADEL,AVEL,Sp,1
AIBR,AVEL,Sp,1
AIZR,AVEL,Sp,4
ALA,AVEL,Sp,2
ALML,AVEL,Sp,1
AUAL,AVEL,Sp,3
AVAL,AVEL,R,2
AVAL,AVEL,Rp,10
AVAR,AVEL,R,4
AVAR,AVEL,Rp,3
AVAR,AVEL,Sp,2
AVBL,AVEL,S,1
AVER,AVEL,EJ,1
RIML,AVEL,EJ,2
RIMR,AVEL,EJ,3
RMDVR,AVEL,EJ,1
RMEV,AVEL,EJ,1
AVG,AVEL,Sp,1
AVJL,AVEL,S,1
AVKL,AVEL,Sp,2
AVL,AVEL,Sp,1
BAGL,AVEL,Sp,1
BAGR,AVEL,S,2
BAGR,AVEL,Sp,2
CEPDR,AVEL,Sp,6
CEPVR,AVEL,S,1
CEPVR,AVEL,Sp,4
DVA,AVEL,S,3
DVA,AVEL,Sp,6
FLPR,AVEL,Sp,4
IL1R,AVEL,Sp,1
IL2L,AVEL,Sp,1
OLLR,AVEL,S,1
OLLR,AVEL,Sp,15
RIBL,AVEL,S,1
RIBL,AVEL,Sp,1
RIBR,AVEL,S,2
RIBR,AVEL,Sp,1
RIGL,AVEL,S,1
RIGL,AVEL,Sp,1
RIS,AVEL,Sp,7
RMGL,AVEL,Sp,2
SABD,AVEL,Rp,6
SABVL,AVEL,Rp,7
SABVR,AVEL,Rp,3
SDQL,AVEL,Sp,1
URXL,AVEL,S,3
URXL,AVEL,Sp,1
URYDR,AVEL,Sp,2
URYVR,AVEL,Sp,6
ADER,AVER,S,1
AIML,AVER,Sp,1
AIZL,AVER,Sp,5
AIZR,AVER,S,1
AIZR,AVER,Sp,1
ALA,AVER,S,1
ALA,AVER,Sp,1
ASHR,AVER,Sp,3
AUAR,AVER,S,1
AUAR,AVER,Sp,3
AVAL,AVER,R,2
AVAL,AVER,Rp,5
AVAR,AVER,Rp,16
AVAR,AVER,Sp,2
AVBL,AVER,Sp,2
AVDR,AVER,Rp,1
AVEL,AVER,EJ,1
RIML,AVER,EJ,3
RIMR,AVER,EJ,2
RMDVL,AVER,EJ,1
RMDVR,AVER,EJ,1
RMEV,AVER,EJ,1
AVG,AVER,Sp,1
AVJR,AVER,S,1
AVJR,AVER,Sp,2
AVKL,AVER,Sp,1
BAGL,AVER,S,1
BAGL,AVER,Sp,3
CEPDL,AVER,S,1
CEPDL,AVER,Sp,4
CEPVL,AVER,S,1
CEPVL,AVER,Sp,2
DVA,AVER,S,2
DVA,AVER,Sp,3
FLPR,AVER,Sp,2
IL1L,AVER,Sp,2
IL1R,AVER,Sp,1
OLLL,AVER,S,3
OLLL,AVER,Sp,18
RIBL,AVER,S,3
RIBL,AVER,Sp,2
RIBR,AVER,S,1
RIBR,AVER,Sp,1
RIGL,AVER,Sp,1
RIGR,AVER,S,2
RIS,AVER,Sp,7
RMGR,AVER,Sp,3
SABD,AVER,Rp,2
SABVL,AVER,Rp,3
SABVR,AVER,Rp,3
URXR,AVER,S,2
URYDL,AVER,Sp,2
URYDR,AVER,Sp,2
URYVL,AVER,Sp,5
AIML,AVFL,S,1
AIML,AVFL,Sp,3
AIMR,AVFL,S,1
AIMR,AVFL,Sp,1
AVBL,AVFL,Rp,1
AVBR,AVFL,Rp,2
AVFR,AVFL,EJ,23
AVHL,AVFL,EJ,2
AVHR,AVFL,EJ,3
AVFR,AVFL,R,1
AVFR,AVFL,Rp,6
AVFR,AVFL,Sp,1
AVG,AVFL,R,1
AVG,AVFL,Rp,1
AVG,AVFL,S,1
AVHL,AVFL,Rp,2
AVHL,AVFL,Sp,1
AVHR,AVFL,R,3
AVHR,AVFL,Rp,1
AVHR,AVFL,Sp,2
AVJL,AVFL,Rp,1
AVJR,AVFL,R,1
AVL,AVFL,Rp,1
HSNL,AVFL,Rp,1
HSNL,AVFL,S,1
HSNL,AVFL,Sp,5
HSNR,AVFL,S,1
HSNR,AVFL,Sp,1
RIFR,AVFL,Sp,1
AIML,AVFR,Sp,1
AIMR,AVFR,S,1
AIMR,AVFR,Sp,1
ASJL,AVFR,Rp,1
ASKL,AVFR,Rp,1
AVBL,AVFR,Rp,1
AVBR,AVFR,R,3
AVBR,AVFR,Rp,2
avfl,avfr,Rp,1
AVFL,AVFR,S,1
AVFL,AVFR,Sp,6
AVFL,AVFR,EJ,23
AVHL,AVFR,EJ,2
AVHR,AVFR,EJ,1
AVHL,AVFR,Rp,2
AVHL,AVFR,Sp,3
AVHR,AVFR,R,1
AVHR,AVFR,Sp,1
AVJL,AVFR,Rp,2
AVJL,AVFR,Sp,1
AVJR,AVFR,Rp,1
AVL,AVFR,Sp,1
HSNR,AVFR,R,1
AVAR,AVG,R,1
AVAR,AVG,Rp,2
AVBL,AVG,R,1
AVBL,AVG,Rp,1
AVBR,AVG,R,2
AVDR,AVG,R,1
AVEL,AVG,Rp,1
AVER,AVG,Rp,1
AVFL,AVG,R,1
AVFL,AVG,S,1
AVFL,AVG,Sp,1
RIFL,AVG,EJ,1
RIFR,AVG,EJ,1
AVJL,AVG,Rp,1
AVL,AVG,Rp,1
ADFR,AVHL,Rp,3
AIML,AVHL,Sp,2
AVAL,AVHL,Sp,1
AVBL,AVHL,R,1
AVBR,AVHL,Rp,1
AVDL,AVHL,Rp,1
AVFL,AVHL,Rp,1
AVFL,AVHL,Sp,2
AVFR,AVHL,Rp,3
AVFR,AVHL,Sp,2
AVFL,AVHL,EJ,2
AVFR,AVHL,EJ,2
AVHR,AVHL,EJ,1
AVHR,AVHL,Rp,1
AVHR,AVHL,Sp,1
AVJL,AVHL,R,2
AVJL,AVHL,Rp,1
AVJL,AVHL,Sp,2
AWBR,AVHL,Rp,1
BDUL,AVHL,Sp,1
BDUR,AVHL,Sp,1
RIFR,AVHL,Sp,1
RIMR,AVHL,Rp,1
RIR,AVHL,Rp,3
SMBDR,AVHL,Rp,1
SMBVR,AVHL,Rp,2
ADLL,AVHR,Rp,1
ADLR,AVHR,Rp,2
AIML,AVHR,Sp,1
AQR,AVHR,Rp,2
AVBL,AVHR,Rp,2
AVBR,AVHR,Rp,1
AVDR,AVHR,Rp,1
AVFL,AVHR,Rp,2
AVFL,AVHR,S,3
AVFL,AVHR,Sp,1
AVFR,AVHR,Rp,1
AVFR,AVHR,S,1
AVHL,AVHR,Rp,1
AVHL,AVHR,Sp,1
AVFL,AVHR,EJ,3
AVFR,AVHR,EJ,1
AVHL,AVHR,EJ,1
AVJR,AVHR,Rp,4
RIFL,AVHR,Sp,1
RIGL,AVHR,Rp,1
RIR,AVHR,R,1
RIR,AVHR,Rp,3
SMBDL,AVHR,Rp,1
SMBVL,AVHR,Rp,1
ADAR,AVJL,S,1
ADAR,AVJL,Sp,2
ADLL,AVJL,Sp,1
AIML,AVJL,Sp,1
AQR,AVJL,Sp,1
AVAR,AVJL,Rp,1
AVBL,AVJL,Rp,1
AVBR,AVJL,Rp,4
AVDL,AVJL,Rp,1
AVEL,AVJL,R,1
AVFL,AVJL,Sp,1
AVFR,AVJL,Rp,1
AVFR,AVJL,S,1
AVFR,AVJL,Sp,1
AVG,AVJL,Sp,1
AVHL,AVJL,Rp,2
AVHL,AVJL,S,2
AVHL,AVJL,Sp,1
AVAL,AVJL,EJ,2
AVDR,AVJL,EJ,2
AVJR,AVJL,EJ,4
RIS,AVJL,EJ,1
AVJR,AVJL,Sp,1
BDUR,AVJL,Sp,2
HSNL,AVJL,S,1
HSNL,AVJL,Sp,1
HSNR,AVJL,R,1
HSNR,AVJL,Sp,1
LUAL,AVJL,Sp,1
RIFR,AVJL,Rp,1
RIFR,AVJL,Sp,1
RIMR,AVJL,Sp,1
RIS,AVJL,Rp,1
RMGR,AVJL,Sp,1
ADAL,AVJR,Sp,5
ADER,AVJR,Sp,1
ADLL,AVJR,Sp,3
ADLR,AVJR,S,1
ADLR,AVJR,Sp,1
AVAL,AVJR,Rp,1
AVAR,AVJR,Rp,1
AVBL,AVJR,R,1
AVBL,AVJR,Rp,2
AVBR,AVJR,Rp,1
AVDL,AVJR,Rp,1
AVDR,AVJR,R,1
AVDR,AVJR,Rp,2
AVER,AVJR,R,1
AVER,AVJR,Rp,2
AVFL,AVJR,S,1
AVFR,AVJR,Sp,1
AVHR,AVJR,Sp,4
AVJL,AVJR,Rp,1
AVJL,AVJR,EJ,4
AVM,AVJR,Sp,1
BDUL,AVJR,Sp,1
FLPR,AVJR,S,1
LUAR,AVJR,Sp,1
RIFL,AVJR,Sp,2
RIFR,AVJR,Sp,2
SABVL,AVJR,Rp,1
URXL,AVJR,Sp,1
ADER,AVKL,S,1
ADER,AVKL,Sp,1
AVBL,AVKL,Rp,1
AVEL,AVKL,Rp,2
AVER,AVKL,Rp,1
ADER,AVKL,EJ,1
AQR,AVKL,EJ,2
AVKR,AVKL,EJ,2
RICL,AVKL,EJ,1
RICR,AVKL,EJ,1
RIGL,AVKL,EJ,1
SMBDL,AVKL,EJ,1
SMBDR,AVKL,EJ,1
SMBVR,AVKL,EJ,1
AVM,AVKL,R,1
DVA,AVKL,R,1
DVC,AVKL,Sp,2
RIGR,AVKL,Sp,4
RIML,AVKL,Rp,2
RIMR,AVKL,Rp,1
RIMR,AVKL,Sp,1
RIS,AVKL,S,1
RMDR,AVKL,Sp,1
RMFL,AVKL,Sp,4
RMFR,AVKL,Rp,1
RMFR,AVKL,Sp,3
SAADR,AVKL,R,1
SIAVR,AVKL,Rp,1
SMDDR,AVKL,Rp,1
ADER,AVKR,Sp,1
ADEL,AVKR,EJ,1
AQR,AVKR,EJ,1
AVKL,AVKR,EJ,2
RICL,AVKR,EJ,1
RIGR,AVKR,EJ,1
SMBDL,AVKR,EJ,1
SMBDR,AVKR,EJ,2
SMBVR,AVKR,EJ,1
BDUL,AVKR,R,1
DVC,AVKR,Sp,1
RICL,AVKR,Sp,1
RIGL,AVKR,Sp,2
RIGR,AVKR,Sp,1
RIML,AVKR,Rp,2
RIMR,AVKR,Rp,2
RIS,AVKR,Sp,4
RMDR,AVKR,R,1
RMFL,AVKR,Rp,1
RMFL,AVKR,Sp,4
RMFR,AVKR,Sp,3
SAADL,AVKR,Rp,1
SMBDL,AVKR,R,1
SMDDL,AVKR,Rp,1
SMDDR,AVKR,Rp,2
ADEL,AVL,S,1
AVBL,AVL,S,1
AVEL,AVL,Rp,1
AVFL,AVL,Sp,1
AVFR,AVL,Rp,1
AVG,AVL,Sp,1
DVB,AVL,EJ,1
DVC,AVL,EJ,9
DVB,AVL,S,2
DVB,AVL,Sp,3
HSNR,AVL,R,1
HSNR,AVL,S,1
RIS,AVL,Sp,2
SABD,AVL,Rp,5
SABVL,AVL,Rp,4
SABVR,AVL,Rp,3
ADER,AVM,R,1
ADER,AVM,Rp,1
AVBL,AVM,Rp,6
AVBR,AVM,R,2
AVBR,AVM,Rp,4
AVJR,AVM,Rp,1
AVKL,AVM,S,1
ALML,AVM,EJ,1
ALMR,AVM,EJ,1
AVDL,AVM,EJ,2
BDUL,AVM,R,2
BDUL,AVM,Rp,1
BDUR,AVM,R,2
BDUR,AVM,Rp,2
RID,AVM,Rp,1
SIBVL,AVM,Rp,1
ADAL,AWAL,R,1
AFDL,AWAL,R,1
AFDL,AWAL,Rp,4
AIYL,AWAL,Rp,1
AIYL,AWAL,Sp,3
AIZL,AWAL,R,3
AIZL,AWAL,Rp,7
ASEL,AWAL,Rp,4
ASGL,AWAL,Rp,1
AIAL,AWAL,EJ,1
AWAR,AWAL,EJ,1
AWBL,AWAL,Rp,1
ADFR,AWAR,Rp,3
AFDR,AWAR,R,1
AFDR,AWAR,Rp,6
AIAR,AWAR,Sp,1
AIYR,AWAR,Rp,2
AIYR,AWAR,Sp,1
AIZR,AWAR,R,2
AIZR,AWAR,Rp,5
ASEL,AWAR,Rp,1
ASER,AWAR,Rp,2
ASER,AWAR,Sp,1
ASKR,AWAR,Sp,1
AUAR,AWAR,R,1
AIAR,AWAR,EJ,1
AIZR,AWAR,EJ,1
AWAL,AWAR,EJ,1
AWBR,AWAR,Rp,1
RIFR,AWAR,Rp,2
RIGR,AWAR,R,1
RIR,AWAR,Rp,2
ADFL,AWBL,R,1
ADFL,AWBL,Rp,8
ADLL,AWBL,S,2
AIBR,AWBL,Rp,1
AIZL,AWBL,R,3
AIZL,AWBL,Rp,6
AVBL,AWBL,R,1
AWAL,AWBL,Sp,1
AUAL,AWBL,EJ,1
AWBR,AWBL,EJ,1
RMGL,AWBL,EJ,1
HSNL,AWBL,S,1
HSNL,AWBL,Sp,1
HSNR,AWBL,Sp,1
RIAL,AWBL,R,1
RIAL,AWBL,Rp,2
SMBDL,AWBL,Rp,1
ADFR,AWBR,R,1
ADFR,AWBR,Rp,3
ADFR,AWBR,S,1
AIZR,AWBR,R,1
AIZR,AWBR,Rp,3
ASGR,AWBR,R,1
ASHR,AWBR,Rp,2
AVBR,AWBR,Rp,2
AVHL,AWBR,Sp,1
AWAR,AWBR,Sp,1
AUAR,AWBR,EJ,1
AWBL,AWBR,EJ,1
RICL,AWBR,EJ,1
RMGR,AWBR,EJ,1
HSNL,AWBR,Sp,2
RIAR,AWBR,Rp,1
RIR,AWBR,Rp,2
RIR,AWBR,Sp,1
SMBVR,AWBR,Rp,1
AIAL,AWCL,R,2
AIAR,AWCL,R,3
AIAR,AWCL,Rp,1
AIAR,AWCL,Sp,1
AIBL,AWCL,R,1
AIBL,AWCL,Rp,1
AIBR,AWCL,Rp,1
AIYL,AWCL,R,7
AIYL,AWCL,Rp,3
AIYL,AWCL,Sp,1
ASEL,AWCL,Rp,1
ASEL,AWCL,Sp,4
ASER,AWCL,Sp,1
ASIL,AWCL,S,1
ASIL,AWCL,Sp,1
ASIR,AWCL,Sp,1
AVAL,AWCL,Rp,1
AWCR,AWCL,Rp,1
AWCR,AWCL,S,1
AWCR,AWCL,Sp,4
RIAL,AWCL,R,2
RIAL,AWCL,Rp,1
ADLR,AWCR,Sp,3
AIAL,AWCR,Sp,1
AIAR,AWCR,R,1
AIAR,AWCR,Rp,1
AIAR,AWCR,S,1
AIAR,AWCR,Sp,2
AIBR,AWCR,Rp,4
AIYL,AWCR,R,1
AIYL,AWCR,Rp,3
AIYL,AWCR,Sp,1
AIYR,AWCR,R,3
AIYR,AWCR,Rp,6
ASEL,AWCR,Rp,1
ASEL,AWCR,Sp,1
ASER,AWCR,Sp,1
ASGR,AWCR,Rp,1
ASIL,AWCR,S,1
ASIL,AWCR,Sp,1
ASIR,AWCR,S,1
ASIR,AWCR,Sp,1
AWCL,AWCR,R,1
AWCL,AWCR,Rp,4
AWCL,AWCR,Sp,1
AIBL,BAGL,Rp,1
AINL,BAGL,Sp,3
AQR,BAGL,Sp,2
AVAR,BAGL,R,1
AVAR,BAGL,Rp,1
AVEL,BAGL,Rp,1
AVER,BAGL,R,1
AVER,BAGL,Rp,3
BAGR,BAGL,EJ,1
RIGR,BAGL,EJ,1
RIR,BAGL,EJ,1
BAGR,BAGL,Rp,1
RIAR,BAGL,R,2
RIAR,BAGL,Rp,3
RIBL,BAGL,R,1
RIBR,BAGL,R,1
RIBR,BAGL,Rp,6
RIBR,BAGL,S,1
RIBR,BAGL,Sp,1
RIGL,BAGL,R,1
RIGR,BAGL,R,3
RIGR,BAGL,Rp,1
AINR,BAGR,Sp,3
AIYL,BAGR,Rp,1
AQR,BAGR,Sp,2
AVAL,BAGR,R,1
AVAL,BAGR,Rp,1
AVEL,BAGR,R,2
AVEL,BAGR,Rp,2
BAGL,BAGR,Sp,1
BAGL,BAGR,EJ,1
RIGL,BAGR,EJ,1
RIR,BAGR,EJ,1
IL2VL,BAGR,Sp,1
RIAL,BAGR,R,2
RIAL,BAGR,Rp,3
RIBL,BAGR,R,1
RIBL,BAGR,Rp,3
RIBL,BAGR,Sp,1
RIGL,BAGR,R,2
RIGL,BAGR,Rp,3
RIGL,BAGR,Sp,1
RIH,BAGR,Sp,1
RIR,BAGR,Sp,1
ADEL,BDUL,R,3
ADEL,BDUL,Sp,1
ALML,BDUL,S,5
ALML,BDUL,Sp,1
AVHL,BDUL,Rp,1
AVJR,BDUL,Rp,1
AVKR,BDUL,S,1
AVM,BDUL,S,2
AVM,BDUL,Sp,1
HSNL,BDUL,Rp,1
SAADL,BDUL,Rp,1
URADL,BDUL,Rp,1
ADER,BDUR,R,1
ALMR,BDUR,Rp,1
ALMR,BDUR,S,5
AVAL,BDUR,Rp,3
AVHL,BDUR,Rp,1
AVJL,BDUR,Rp,2
AVM,BDUR,S,2
AVM,BDUR,Sp,2
CEPDR,BDUR,S,1
HSNR,BDUR,R,1
HSNR,BDUR,Rp,3
HSNR,BDUR,Sp,1
SDQL,BDUR,Rp,1
URADR,BDUR,Rp,1
ADEL,CEPDL,S,1
ALML,CEPDL,S,3
AVER,CEPDL,R,1
AVER,CEPDL,Rp,4
OLQDL,CEPDL,EJ,1
RIH,CEPDL,EJ,1
IL1DL,CEPDL,Rp,4
OLLL,CEPDL,Rp,2
OLLL,CEPDL,Sp,3
OLQDL,CEPDL,Rp,6
RIBL,CEPDL,Rp,2
RICL,CEPDL,R,1
RICL,CEPDL,Rp,1
RICR,CEPDL,R,2
RICR,CEPDL,Rp,2
RIH,CEPDL,S,1
RIPL,CEPDL,Rp,2
RIS,CEPDL,Rp,1
RMDVL,CEPDL,R,1
